date,category,amount,description
2024-10-10,Food,3.0,Food expenses
2024-10-11,Travel,300.0,Traveling expense
2024-10-01,Bills,300.0,Traveling expense
2024-10-12,Travel,300.0,Traveling expense
2024-10-11,Food,300.0,Traveling expense
2024-10-11,Miscellaneous,300.0,Traveling expense
2024-10-21,Travel,300.0,Traveling expense
2024-10-11,Food,300.0,Traveling expense
2024-10-04,Travel,300.0,Traveling expense
2024-10-15,Food,300.0,Traveling expense
2024-10-11,Miscellaneous,300.0,Traveling expense
2024-10-11,Travel,300.0,Traveling expense
2024-10-21,Bills,300.0,Traveling expense
2024-10-31,Miscellaneous,300.0,Traveling expense
2024-10-29,Food,300.0,Traveling expense
